ID,Text,Source
1,"Цахим мөнгөний ашиглалт 997 дахин нэмэгдэж, мобайл банкны гүйлгээний тоо байнга өсчээ.",zorig.mn
2,"Оюутолгой зэс алтны уурхайн газар доорхи олборлолт амжилттай үргэлжилж, эдийн засагт жилд 100 тэрбум долларын орлого авчирна.",ikon.mn
3,"Архангай аймагт зургадугаар сард хүчтэй шороон шуурга шуурч, 2358 айлын амьдрал доройтсон.",gogo.mn
4,"Монгол Улсын эдийн засаг энэ онд 32 хувиар өсч, Азийн хөгжлийн банк энэ ахиц дэвшлийг өндрөөр үнэлж байна.",unuudur.mn
5,"Уурхайн бүсэд ажилладаг жолоочид ажлын нөхцөл муу, цалин бага гэж гомдол гарган ажил хаялт зарлалаа.",ikon.mn
6,"Метроны барилгын ажил албан ёсоор эхэлж, 2030 онд ашиглалтад ороход түгжрэлийг 9 хувиар бууруулна.",ikon.mn
7,"Монголын шигшээ баг олон улсын тэмцээнд өндөр амжилт үзүүлж, 1847 алтан медаль хүртлээ.",montsame.mn
8,"Уул уурхайн салбарт осол гарч, 4280 ажилтан гэмтсэн байна. Хөдөлмөрийн аюулгүй байдлын стандартыг чангатгах шаардлагатай.",zorig.mn
9,"Монголын кино үйлдвэрлэл сүүлийн жилүүдэд хөгжиж, олон улсын наадамд шагнал хүртсэн 2207 бүтээл гарлаа.",news.mn
10,"Сургуулийн хүчирхийлэл буюу дарамтын тохиолдол 10 хувиар нэмэгдэж, эцэг эхчүүдийн санааг зовоож байна.",zorig.mn
11,Цэцэрлэгийн хүчин чадал хүрэлцэхгүй байгаа тул 3060 мянган хүүхэд гэртээ цоожлогдож үлдэж байна.,news.mn
12,Монголын E-спортын баг Дэлхийн аварга шалгаруулах тэмцээнд шилдэг 4495-д шалгарсан байна.,ikon.mn
13,ОУВС-оос 1.5 сая долларын хөнгөлөлттэй зээл олгохоор шийдвэрлэсэн нь дэд бүтцийн хөгжилд боломж нээж байна.,ikon.mn
14,"Мал аж ахуйн даатгалын шинэ тогтолцоо нэвтэрч, байгалийн гамшгаар хохирсон малчдад нөхөн олговор олгогдож эхэллээ.",zorig.mn
15,"Сургуулийн хүчирхийлэл буюу дарамтын тохиолдол 3 хувиар нэмэгдэж, эцэг эхчүүдийн санааг зовоож байна.",news.mn
16,"Эмэгтэй бөхчүүд Ази тивийн аварга шалгаруулах тэмцээнд түрүүлж, спортын түүхэнд нэрээ үлдээлээ.",montsame.mn
17,"Оюутолгой зэс алтны уурхайн газар доорхи олборлолт амжилттай үргэлжилж, эдийн засагт жилд 20 тэрбум долларын орлого авчирна.",news.mn
